"battery","variable","resolved_variable","min_var","max_var","variance_ratio","note"
"BT1","attempts","attempts",0,1.32417582417582,Inf,"At least one group variance is zero."
"BT2","attempts","attempts",NA,NA,NA,"Insufficient groups."
"BT3","attempts","attempts",0.0625,2.6,41.6,"Variance ratio computed."
"BT1","blood_sugar","blood_sugar",1318.35238095238,16547.125,12.5513673271833,"Variance ratio computed."
"BT2","blood_sugar","blood_sugar",50,23137.3333333333,462.746666666667,"Variance ratio computed."
"BT3","blood_sugar","blood_sugar",941.571428571429,13903.4761904762,14.7662469023416,"Variance ratio computed."
"BT1","condition_factor_K","Kc",0.0172795186480084,0.107184891952654,6.20300218634901,"Variance ratio computed."
"BT2","condition_factor_K","Kc",0.0426096711871104,1.05877184771579,24.8481581344865,"Variance ratio computed."
"BT3","condition_factor_K","Kc",0.0187280709957301,0.324580226391537,17.3312150763173,"Variance ratio computed."
"BT1","dist_total","dist_total",1054656.58973626,8438899.5273,8.00156146505499,"Variance ratio computed."
"BT2","dist_total","dist_total",552822.916666667,11881392.4095496,21.4922212002178,"Variance ratio computed."
"BT3","dist_total","dist_total",NA,NA,NA,"Insufficient groups."
"BT1","last_flux","last_flux",2.61538461538462,7.85,3.00147058823529,"Variance ratio computed."
"BT2","last_flux","last_flux",NA,NA,NA,"Insufficient groups."
"BT3","last_flux","last_flux",3.20879120879121,8.98095238095238,2.79885844748858,"Variance ratio computed."
"BT1","latency","latency",17.956043956044,16151.6958333333,899.513048245614,"Variance ratio computed."
"BT2","latency","latency",0,14116.0958333333,Inf,"At least one group variance is zero."
"BT3","latency","latency",NA,NA,NA,"Insufficient groups."
"BT1","length","lt",0.00401098901098902,0.0855494505494506,21.3287671232876,"Variance ratio computed."
"BT2","length","lt",0.0283809523809524,0.12552380952381,4.42281879194631,"Variance ratio computed."
"BT3","length","lt",0.0552916666666666,0.178291666666667,3.22456669178599,"Variance ratio computed."
"BT1","mov_total","mov_total",230.066666666667,30491,132.531150391191,"Variance ratio computed."
"BT2","mov_total","mov_total",461.05,23551.7196969697,51.0827886280657,"Variance ratio computed."
"BT3","mov_total","mov_total",NA,NA,NA,"Insufficient groups."
"BT1","mtpc","mtpc",209.483795004193,43889.5748029326,209.512983102364,"Variance ratio computed."
"BT2","mtpc","mtpc",1520.28061499905,46916.5659022406,30.8604644691005,"Variance ratio computed."
"BT3","mtpc","mtpc",NA,NA,NA,"Insufficient groups."
"BT1","num_changes","num_changes",78.7809523809524,787.45,9.99543641199226,"Variance ratio computed."
"BT2","num_changes","num_changes",81.0285714285714,1015.99583333333,12.5387356017866,"Variance ratio computed."
"BT3","num_changes","num_changes",NA,NA,NA,"Insufficient groups."
"BT1","resistance_index","resistance_index",78.881684981685,345.243920634921,4.37673105886468,"Variance ratio computed."
"BT2","resistance_index","resistance_index",NA,NA,NA,"Insufficient groups."
"BT3","resistance_index","resistance_index",36.5466216931217,406.291674603174,11.1170788374029,"Variance ratio computed."
"BT1","stratum_pref","stratum_pref",250.972209994115,851.402253661966,3.39241644994054,"Variance ratio computed."
"BT2","stratum_pref","stratum_pref",127.034882497831,779.289405375746,6.13445212883988,"Variance ratio computed."
"BT3","stratum_pref","stratum_pref",NA,NA,NA,"Insufficient groups."
"BT1","time_bright","time_bright",2577.95238095238,21978.532967033,8.52557755892813,"Variance ratio computed."
"BT2","time_bright","time_bright",12929.0909090909,38241.5238095238,2.95778907259712,"Variance ratio computed."
"BT3","time_bright","time_bright",NA,NA,NA,"Insufficient groups."
"BT1","time_in_last_flux","time_in_last_flux",151.873626373626,392.417582417582,2.58384284215477,"Variance ratio computed."
"BT2","time_in_last_flux","time_in_last_flux",NA,NA,NA,"Insufficient groups."
"BT3","time_in_last_flux","time_in_last_flux",132.529166666667,333.552380952381,2.51682244249918,"Variance ratio computed."
"BT1","vel_mean","vel_mean",5.58402108560941,34.9933056622468,6.26668580325173,"Variance ratio computed."
"BT2","vel_mean","vel_mean",4.47245850325085,45.992409439385,10.2834737104782,"Variance ratio computed."
"BT3","vel_mean","vel_mean",NA,NA,NA,"Insufficient groups."
"BT1","weight","wt",0.000443956043956044,0.0166352380952381,37.4704620462046,"Variance ratio computed."
"BT2","weight","wt",0.00142095238095238,0.0100266666666667,7.05630026809652,"Variance ratio computed."
"BT3","weight","wt",0.00374291666666667,0.0166552380952381,4.44980200696554,"Variance ratio computed."
